"","language","cossim_span","latitude.x","longitude.x","cossim_jap","latitude.y","longitude.y","cossim_eng","latitude","longitude","cossim_unr"
"1","Agutaynen",0.483764055159431,10.5328,119.655,0.399356364114637,10.5328,119.655,0.722357836087704,10.5328,119.655,0.650832976109296
"2","Arta",0.489898171800058,16.4185,121.656,0.315469828733364,16.4185,121.656,0.552402726493762,16.4185,121.656,0.523417263323239
"3","Ata Manobo",0.433769295906845,7.7789,125.499,0.380235956001619,7.7789,125.499,0.71747879703343,7.7789,125.499,0.638447269009878
"4","Balangingi",0.436800384430289,6.011614,121.686646,0.387941793148131,6.011614,121.686646,0.646617328195549,6.011614,121.686646,0.652917107731826
"5","Bonggi",0.468035342073336,7.29249,117.174,0.503576466701567,7.29249,117.174,0.748418948189368,7.29249,117.174,0.769440901310301
"6","Botolan Sambal",0.367907083411462,15.2315,120.164,0.415227868338239,15.2315,120.164,0.60926793169538,15.2315,120.164,0.676549846665798
"7","Central Cagayan Agta",0.358601589072304,17.9571,121.857,0.398577012385383,17.9571,121.857,0.568266954302146,17.9571,121.857,0.605812747842355
"8","Coastal-Naga Bikol",0.46317271815561,13.7574,123.403,0.435902862391226,13.7574,123.403,0.543918449376606,13.7574,123.403,0.654601821306228
"9","Central Bontoc",0.443016287389215,17.08,120.92,0.360111818213238,17.08,120.92,0.636485708731305,17.08,120.92,0.62990821391223
"10","Filipino",0.461147182614846,12.265,123.464,0.471471978765439,12.265,123.464,0.633472010810949,12.265,123.464,0.704087569768865
"11","Ibaloi",0.459905700353804,16.4263,120.695,0.407014539949161,16.4263,120.695,0.673114145517382,16.4263,120.695,0.680074099640616
"12","Ibanag",0.497297173545697,17.4201,121.891,0.384412654006116,17.4201,121.891,0.744576945676992,17.4201,121.891,0.658167634537605
"13","Ibatan",0.441310565111842,18.9398,121.909,0.398775922432676,18.9398,121.909,0.617382131909481,18.9398,121.909,0.624609092998765
"14","Ilongot",0.565517480914216,16.3785,121.547,0.378777307475696,16.3785,121.547,0.690595763620994,16.3785,121.547,0.623403284614738
"15","Isinai",0.436959183296739,16.3299,121.12,0.38875756510386,16.3299,121.12,0.64729404870613,16.3299,121.12,0.653843350221157
"16","Isnag",0.430340663442549,18.2139,121.16,0.3959901156321,18.2139,121.16,0.590469509279516,18.2139,121.16,0.637089463067854
"17","Kagayanen",0.417770824285136,10.4656,119.872,0.392119711958237,10.4656,119.872,0.599671974413222,10.4656,119.872,0.643198109312849
"18","Karao",0.340448502470818,16.5655,120.956,0.335481393262011,16.5655,120.956,0.490762545210763,16.5655,120.956,0.532192560172454
"19","Keley-i Kallahan",0.418550390197577,16.7099,121.035,0.379588101613361,16.7099,121.035,0.695112545999953,16.7099,121.035,0.610069716596477
"20","Kinaray-a",0.524815948696601,10.8131,122.297,0.382796586627709,10.8131,122.297,0.605831010968517,10.8131,122.297,0.606651528799098
"21","Maguindanao",0.597055384943328,6.9453,124.509,0.368237380054548,6.9453,124.509,0.661410948190741,6.9453,124.509,0.621916564863774
"22","Masbatenyo",0.423948052555155,12.21453,123.63579,0.328905233998389,12.21453,123.63579,0.544741071951659,12.21453,123.63579,0.566788803129485
"23","Northern Subanen",0.40547082862439,8.5232,123.588,0.37267228037657,8.5232,123.588,0.696788023895096,8.5232,123.588,0.624979535624903
"24","Pangasinan",0.461231815238337,15.9377,120.365,0.447248231153736,15.9377,120.365,0.624069972774363,15.9377,120.365,0.706083550769732
"25","Pangutaran Sama",0.422945570696985,6.27167,120.536,0.403696899250503,6.27167,120.536,0.624217379323275,6.27167,120.536,0.655888746883149
"26","Rungus",0.389363271108828,6.83989,116.743,0.389744227637638,6.83989,116.743,0.654876987977635,6.83989,116.743,0.639831427284067
"27","Sabah Malay",0.452431203180124,4.64808,117.024,0.460986342641709,4.64808,117.024,0.777641637967424,4.64808,117.024,0.758548141390853
"28","Southern Sama",0.364415546612424,4.755836,119.483887,0.416024822841328,4.755836,119.483887,0.640869757261515,4.755836,119.483887,0.684363871529603
"29","Tagabawa",0.509336227599866,6.9712,125.175,0.370589958373645,6.9712,125.175,0.711875953042247,6.9712,125.175,0.619970158643533
"30","Tambunan Dusun",0.389363271108828,5.68284,116.373,0.389744227637638,5.68284,116.373,0.654876987977635,5.68284,116.373,0.639831427284067
"31","Tatana",0.35687248772215,5.49808,115.553,0.418773681123383,5.49808,115.553,0.60855833753247,5.49808,115.553,0.577076564120514
"32","Tausug",0.523169423231178,5.12236,118.88,0.343801620686269,5.12236,118.88,0.54246026155706,5.12236,118.88,0.567042180173609
"33","Tboli",0.425966049045347,6.20377,124.538,0.379651998430632,6.20377,124.538,0.648341063419854,6.20377,124.538,0.670046954704111
"34","Timugon Murut",0.402539539169592,5.1796,115.826,0.402831187062251,5.1796,115.826,0.611689866013914,5.1796,115.826,0.663279598111324
"35","Tuwali Ifugao",0.485205198096469,16.6646,121.113,0.384160480926087,16.6646,121.113,0.706100532614658,16.6646,121.113,0.659655746672757
"36","Western Subanon",0.368599881763268,7.79964,122.341,0.345130504305504,7.79964,122.341,0.530753331124937,7.79964,122.341,0.563605659944318
"37","West Coast Bajau",0.355800166520792,6.00631,116.124,0.389591314956126,6.00631,116.124,0.612975365709123,6.00631,116.124,0.647167117698825
"38","Yakan",0.412239660871824,6.531023,122.021729,0.401971863341387,6.531023,122.021729,0.626009355237046,6.531023,122.021729,0.674193432435755
"39","Yogad",0.454880984079155,16.7015,121.718,0.411344364924041,16.7015,121.718,0.59731228217404,16.7015,121.718,0.645325952314537
