feature,value,n_languages,freq,IDF
GB020,0,517,0.6320293398533008,0.4588194620943178
GB020,1,301,0.36797066014669927,0.9997520718538713
GB021,0,669,0.8178484107579462,0.20107827647451854
GB021,1,149,0.1821515892420538,1.702916030657288
GB022,0,618,0.7555012224938875,0.28037387914505624
GB022,1,200,0.24449877750611246,1.4085449700547104
GB023,0,632,0.7726161369193154,0.25797294245588964
GB023,1,186,0.2273838630806846,1.4811156628895459
GB028,0,392,0.4792176039119804,0.7356004968122847
GB028,1,426,0.5207823960880196,0.6524229903333766
GB030,0,660,0.8068459657701712,0.21462250158227572
GB030,1,158,0.19315403422982885,1.6442673035757802
GB031,0,596,0.7286063569682152,0.3166216695373972
GB031,1,222,0.2713936430317848,1.3041849547304678
GB035,0,408,0.49877750611246946,0.6955951621985853
GB035,1,410,0.5012224938875306,0.6907051769043935
GB036,0,742,0.9070904645476773,0.09751309343536661
GB036,1,76,0.09290953545232274,2.376128996316416
GB037,0,737,0.9009779951100244,0.1042744444134105
GB037,1,81,0.09902200488997555,2.3124131819303084
GB042,0,708,0.8655256723716381,0.14441824290902724
GB042,1,110,0.13447432762836187,2.0063819708103305
GB043,0,761,0.9303178484107579,0.07222897874106134
GB043,1,57,0.06968215158924206,2.663811068768197
GB044,0,395,0.4828850855745721,0.7279765717016251
GB044,1,423,0.5171149144254279,0.659490157556469
GB051,0,697,0.8520782396088019,0.16007692584222316
GB051,1,121,0.14792176039119803,1.911071791006006
GB052,0,779,0.9523227383863081,0.0488512907319988
GB052,1,39,0.04767726161369193,3.043300690473101
GB053,0,669,0.8178484107579462,0.20107827647451854
GB053,1,149,0.1821515892420538,1.702916030657288
GB054,0,777,0.9498777506112469,0.05142198623509958
GB054,1,41,0.05012224938875306,2.993290269898439
GB065,1,403,0.49266503667481665,0.707925774656064
GB065,2,275,0.33618581907090467,1.0900912389361757
GB065,3,140,0.17114914425427874,1.7652199139934428
GB070,0,502,0.6136919315403423,0.4882622169110179
GB070,1,316,0.3863080684596577,0.9511201230158349
GB071,0,408,0.49877750611246946,0.6955951621985853
GB071,1,410,0.5012224938875306,0.6907051769043935
GB072,0,428,0.5232273838630807,0.6477391410209503
GB072,1,390,0.4767726161369193,0.740715597479055
GB073,0,433,0.5293398533007335,0.6361246086002572
GB073,1,385,0.4706601466992665,0.7536190023149628
GB079,0,295,0.3606356968215159,1.0198869802629271
GB079,1,523,0.6393643031784841,0.44728087253782406
GB080,0,154,0.1882640586797066,1.6699097341891178
GB080,1,664,0.8117359413202934,0.2085801871263132
GB082,0,556,0.6797066014669927,0.38609404235216466
GB082,1,262,0.3202933985330073,1.1385178328416503
GB083,0,399,0.4877750611246944,0.7179009197128837
GB083,1,419,0.5122249388753056,0.6689914166806092
GB084,0,480,0.58679706601467,0.5330762327008104
GB084,1,338,0.4132029339853301,0.8838164411197281
GB086,0,279,0.3410757946210269,1.0756505547813815
GB086,1,539,0.6589242053789731,0.4171467656937499
GB089,0,495,0.6051344743276283,0.5023045740340567
GB089,1,323,0.39486552567237165,0.9292100133800905
GB090,0,581,0.7102689486552567,0.3421115797508359
GB090,1,237,0.28973105134474325,1.238802195467616
GB091,0,505,0.617359413202934,0.4823039073273873
GB091,1,313,0.38264058679706603,0.9606591460625938
GB092,0,595,0.7273838630806846,0.3183009310571173
GB092,1,223,0.2726161369193154,1.2996905651426283
GB093,0,571,0.6980440097799511,0.3594731269467369
GB093,1,247,0.3019559902200489,1.1974739999747699
GB094,0,680,0.8312958435207825,0.18476953843259464
GB094,1,138,0.1687041564792176,1.7796086514455423
GB107,0,442,0.5403422982885085,0.615552454525049
GB107,1,376,0.45965770171149145,0.7772731932128526
GB121,0,631,0.7713936430317848,0.2595564740615339
GB121,1,187,0.22860635696821516,1.4757537197481603
GB130,1,640,0.78239608801956,0.2453941602490295
GB130,2,118,0.14425427872860636,1.9361777121370822
GB130,3,60,0.07334963325183375,2.6125177743806463
GB131,0,670,0.8190709046454768,0.19958462421773518
GB131,1,148,0.18092909535452323,1.709650062838632
GB137,0,519,0.6344743276283619,0.45495845343685837
GB137,1,299,0.36552567237163813,1.0064187632120607
GB138,0,534,0.6528117359413202,0.42646649764255234
GB138,1,284,0.3471882640586797,1.057888098441541
GB171,0,656,0.8019559902200489,0.22070154765865793
GB171,1,162,0.1980440097799511,1.619266001370363
GB172,0,739,0.9034229828850856,0.10156441565454534
GB172,1,79,0.09657701711491443,2.3374144841357256
GB186,0,699,0.8545232273838631,0.15721159436893675
GB186,1,119,0.14547677261613692,1.9277388434912177
GB192,0,776,0.9486552567237164,0.052709816419528335
GB192,1,42,0.05134474327628362,2.9691927183193787
GB196,0,771,0.9425427872860636,0.05917396303941757
GB196,1,47,0.05745721271393643,2.8567147348926887
GB197,0,803,0.9816625916870416,0.018507622655985236
GB197,1,15,0.018337408312958436,3.998812135500537
GB316,0,775,0.9474327628361858,0.053999307249400004
GB316,1,43,0.05256723716381418,2.9456622209091847
GB318,0,672,0.8215158924205379,0.19660399607959742
GB318,1,146,0.1784841075794621,1.7232557148944108
GB321,0,733,0.8960880195599022,0.10971663471609557
GB321,1,85,0.1039119804400978,2.2642110801124304
GB415,0,673,0.8227383863080685,0.19511700695801917
GB415,1,145,0.17726161369193155,1.7301285941821725
