id,latitude,longitude,route
0,14.42,120.51,1.0
1,14.47,120.93,1.0
2,14.07,120.44,1.0
3,13.76,120.55,1.0
4,13.63,120.78,1.0
5,13.54,121.04,1.0
6,13.45,121.04,1.0
7,13.52,121.24,1.0
8,13.48,121.58,1.0
9,13.18,122.07,1.0
10,13.01,123.37,1.0
11,12.64,123.61,1.0
12,12.78,123.83,1.0
13,12.61,123.9,1.0
14,12.42,124.2,1.0
15,12.6,124.23,1.0
16,6.62,120.81,2.0
17,9.53,121.01,2.0
18,6.85,117.49,2.0
19,8.18,122.5,2.0
20,9.01,123.16,2.0
21,9.32,123.57,2.0
22,9.67,123.77,2.0
23,9.85,123.71,2.0
24,10.26,124.0,2.0
25,10.6,124.43,2.0
26,10.33,124.67,2.0
27,10.02,124.8,2.0
28,9.86,125.09,2.0
29,9.18,125.17,2.0
30,9.85,125.14,2.0
31,11.7,124.19,1.5
